Action,Date,Ad Title/Id,Page/App
Impression,2025/02/26,555610544,The Roku Channel
Impression,2025/03/06,636497846,merriam-webster.com
Impression,2025/03/08,601981624,merriam-webster.com
Impression,2025/03/08,602001674,merriam-webster.com
Impression,2025/03/08,602031394,merriam-webster.com
Impression,2025/03/10,637598796,eenadu.net
Impression,2025/03/11,514396613,eenadu.net
Impression,2025/03/11,582072814,eenadu.net
Impression,2025/03/28,629877893,VideoElephantTV
Impression,2025/03/28,629914293,VideoElephantTV
Impression,2025/04/20,665095686,Samsung TV Plus FREE
Impression,2025/05/10,684261626,yahoo.com
Impression,2025/05/16,675349716,pcgamer.com
Impression,2025/05/19,630309734,quizlet.com
Impression,2025/05/19,667987424,quizlet.com
Impression,2025/05/19,669206914,merriam-webster.com
Impression,2025/05/26,667987424,merriam-webster.com
Impression,2025/05/26,667987494,merriam-webster.com
Impression,2025/05/26,669206914,merriam-webster.com
Impression,2025/06/11,668007574,geeksforgeeks.org
Impression,2025/06/11,676280174,geeksforgeeks.org
Impression,2025/06/11,723557666,geeksforgeeks.org
Impression,2025/06/12,676271044,merriam-webster.com
Impression,2025/06/12,720344756,merriam-webster.com
Impression,2025/06/14,694500314,merriam-webster.com
Impression,2025/06/18,247515723,ntp.msn.com
Impression,2025/06/18,668007574,ntp.msn.com
Impression,2025/06/18,676204604,merriam-webster.com
Impression,2025/06/18,685580164,ntp.msn.com
Impression,2025/06/18,720344756,merriam-webster.com
Impression,2025/06/18,725315916,ntp.msn.com
Impression,2025/06/20,247514343,ntp.msn.com
Impression,2025/06/20,668007574,ntp.msn.com
Impression,2025/06/20,708050516,ntp.msn.com
Impression,2025/06/20,708426153,ntp.msn.com
Impression,2025/06/20,720296996,ntp.msn.com
Impression,2025/06/20,720315766,ntp.msn.com
Impression,2025/06/21,668007614,merriam-webster.com
Impression,2025/06/22,676243104,merriam-webster.com
Impression,2025/06/23,220724854,ntp.msn.com
Impression,2025/06/23,247513813,ntp.msn.com
Impression,2025/06/23,247515723,ntp.msn.com
Impression,2025/06/23,523089313,ntp.msn.com
Impression,2025/06/23,567816663,thestreet.com
Impression,2025/06/23,676271044,thestreet.com
Impression,2025/06/23,676280174,thestreet.com
Impression,2025/06/23,685580164,ntp.msn.com
Impression,2025/06/23,693999193,thestreet.com
Impression,2025/06/23,708050516,ntp.msn.com
Impression,2025/06/23,708059886,ntp.msn.com
Impression,2025/06/23,708426153,ntp.msn.com
Impression,2025/06/23,708435723,ntp.msn.com
Impression,2025/06/23,723774126,ntp.msn.com
Impression,2025/06/24,247513813,ntp.msn.com
Impression,2025/06/24,723783866,ntp.msn.com
Impression,2025/06/24,724045816,ntp.msn.com
Impression,2025/06/25,247513813,ntp.msn.com
Impression,2025/06/25,523102823,ntp.msn.com
Impression,2025/06/25,668007614,ntp.msn.com
Impression,2025/06/25,675416466,ntp.msn.com
Impression,2025/06/25,685580164,ntp.msn.com
Impression,2025/06/25,689476366,Samsung TV Plus FREE
Impression,2025/06/25,689533776,g15147002586
Impression,2025/06/25,713926733,ntp.msn.com
Impression,2025/06/25,720296996,ntp.msn.com
Impression,2025/06/26,247515723,ntp.msn.com
Impression,2025/06/26,723774126,ntp.msn.com
Impression,2025/06/26,732349656,ntp.msn.com
Impression,2025/06/26,732588536,ntp.msn.com
Impression,2025/06/27,220724854,ntp.msn.com
Impression,2025/06/27,247513813,ntp.msn.com
Impression,2025/06/27,408730954,ntp.msn.com
Impression,2025/06/27,670383406,huffpost.com
Impression,2025/06/27,709702366,ntp.msn.com
Impression,2025/06/27,723783866,huffpost.com
Impression,2025/06/27,724036446,ntp.msn.com
Impression,2025/06/29,668007574,merriam-webster.com
Impression,2025/06/29,749520496,geeksforgeeks.org
Impression,2025/06/30,668007574,quizlet.com
Impression,2025/06/30,669281344,ntp.msn.com
Impression,2025/06/30,685537154,ntp.msn.com
Impression,2025/06/30,708041616,ntp.msn.com
Impression,2025/06/30,708059886,ntp.msn.com
Impression,2025/06/30,708387333,ntp.msn.com
Impression,2025/06/30,708435723,ntp.msn.com
Impression,2025/06/30,723831026,ntp.msn.com
Impression,2025/06/30,749512216,ntp.msn.com
Impression,2025/07/01,316430074,ntp.msn.com
Impression,2025/07/01,408730954,ntp.msn.com
Impression,2025/07/01,510367254,ntp.msn.com
Impression,2025/07/01,669281344,ntp.msn.com
Impression,2025/07/01,680002933,ntp.msn.com
Impression,2025/07/01,680022623,ntp.msn.com
Impression,2025/07/01,709702366,ntp.msn.com
Impression,2025/07/01,724045816,ntp.msn.com
Impression,2025/07/01,732588536,ntp.msn.com
Impression,2025/07/01,732588856,ntp.msn.com
Impression,2025/07/02,523079613,ntp.msn.com
Impression,2025/07/02,567822793,ntp.msn.com
Impression,2025/07/02,679973923,ntp.msn.com
Impression,2025/07/02,724006896,ntp.msn.com
Impression,2025/07/02,744087646,ntp.msn.com
Impression,2025/07/02,749814516,ntp.msn.com
Impression,2025/07/06,676243104,quizlet.com
Impression,2025/07/06,676271044,quizlet.com
Impression,2025/07/06,676280174,quizlet.com
Impression,2025/07/07,220725964,ntp.msn.com
Impression,2025/07/07,694500314,quizlet.com
Impression,2025/07/07,703031444,ntp.msn.com
Impression,2025/07/08,247515723,ntp.msn.com
Impression,2025/07/08,316430074,ntp.msn.com
Impression,2025/07/08,633753673,ntp.msn.com
Impression,2025/07/08,679953903,ntp.msn.com
Impression,2025/07/08,679993103,ntp.msn.com
Impression,2025/07/08,706291554,ntp.msn.com
Impression,2025/07/08,724065506,ntp.msn.com
Impression,2025/07/08,732589206,ntp.msn.com
Impression,2025/07/08,749509796,ntp.msn.com
Impression,2025/07/09,567816663,ntp.msn.com
Impression,2025/07/09,567822823,ntp.msn.com
Impression,2025/07/09,679945173,ntp.msn.com
Impression,2025/07/09,680002933,ntp.msn.com
Impression,2025/07/10,247514343,ntp.msn.com
Impression,2025/07/10,523130843,quizlet.com
Impression,2025/07/10,694306774,ntp.msn.com
Impression,2025/07/10,717138853,ntp.msn.com
Impression,2025/07/10,724016446,ntp.msn.com
Impression,2025/07/11,644496474,ntp.msn.com
Impression,2025/07/11,706462104,ntp.msn.com
Impression,2025/07/11,710265686,ntp.msn.com
Impression,2025/07/11,732079086,merriam-webster.com
Impression,2025/07/13,676280174,geeksforgeeks.org
Impression,2025/07/15,676204604,quizlet.com
Impression,2025/07/15,676271044,quizlet.com
Impression,2025/07/15,694500314,quizlet.com
Impression,2025/07/16,155670704,ntp.msn.com
Impression,2025/07/16,247515723,ntp.msn.com
Impression,2025/07/16,523149913,ntp.msn.com
Impression,2025/07/16,712872824,ntp.msn.com
Impression,2025/07/16,724036446,ntp.msn.com
Impression,2025/07/16,724065496,ntp.msn.com
Impression,2025/07/17,316390904,ntp.msn.com
Impression,2025/07/17,523102823,ntp.msn.com
Impression,2025/07/17,712662034,ntp.msn.com
Impression,2025/07/17,732589206,ntp.msn.com
Impression,2025/07/18,712798534,ntp.msn.com
Impression,2025/07/18,712872824,ntp.msn.com
Impression,2025/07/18,732589206,ntp.msn.com
Impression,2025/07/18,743309726,ntp.msn.com
Impression,2025/07/18,783608196,ntp.msn.com
Impression,2025/07/18,797566186,ntp.msn.com
Impression,2025/07/20,676280174,quizlet.com
Impression,2025/07/21,359754654,ntp.msn.com
Impression,2025/07/21,602026234,ntp.msn.com
Impression,2025/07/21,796928736,ntp.msn.com
Impression,2025/07/22,247515723,ntp.msn.com
Impression,2025/07/22,694500314,ntp.msn.com
Impression,2025/07/23,247513813,ntp.msn.com
Impression,2025/07/23,247514343,ntp.msn.com
Impression,2025/07/23,247515723,ntp.msn.com
Impression,2025/07/23,523098883,ntp.msn.com
Impression,2025/07/23,633753673,ntp.msn.com
Impression,2025/07/23,702299394,ntp.msn.com
Impression,2025/07/23,702620994,ntp.msn.com
Impression,2025/07/23,712872824,ntp.msn.com
Impression,2025/07/23,714338164,ntp.msn.com
Impression,2025/07/23,717228914,ntp.msn.com
Impression,2025/07/23,717238254,ntp.msn.com
Impression,2025/07/23,724065506,ntp.msn.com
Impression,2025/07/23,743309766,ntp.msn.com
Impression,2025/07/23,744709353,ntp.msn.com
Impression,2025/07/23,799673106,ntp.msn.com
Impression,2025/07/24,247513813,ntp.msn.com
Impression,2025/07/24,247515723,ntp.msn.com
Impression,2025/07/24,316390904,ntp.msn.com
Impression,2025/07/24,408730954,ntp.msn.com
Impression,2025/07/24,567822793,ntp.msn.com
Impression,2025/07/24,714497304,ntp.msn.com
Impression,2025/07/24,732578376,ntp.msn.com
Impression,2025/07/24,796918406,ntp.msn.com
Impression,2025/07/24,799800486,ntp.msn.com
Impression,2025/07/25,316390904,ntp.msn.com
Impression,2025/07/25,523089313,ntp.msn.com
Impression,2025/07/25,712872824,ntp.msn.com
Impression,2025/07/25,717138853,ntp.msn.com
Impression,2025/07/25,732588856,ntp.msn.com
Impression,2025/07/25,732589206,ntp.msn.com
Impression,2025/07/25,744679373,ntp.msn.com
Impression,2025/07/25,744699443,ntp.msn.com
Impression,2025/07/25,745096923,ntp.msn.com
Impression,2025/07/25,797566186,ntp.msn.com
Impression,2025/07/27,730773883,ebay.com
Impression,2025/07/28,714832234,ntp.msn.com
Impression,2025/07/28,715008754,ntp.msn.com
Impression,2025/07/28,717211674,ntp.msn.com
Impression,2025/07/28,730750393,ntp.msn.com
Impression,2025/07/28,744522423,ntp.msn.com
Impression,2025/07/29,247513813,ntp.msn.com
Impression,2025/07/29,247514343,ntp.msn.com
Impression,2025/07/29,549206154,ntp.msn.com
Impression,2025/07/29,706444744,ntp.msn.com
Impression,2025/07/29,712189274,ntp.msn.com
Impression,2025/07/29,712636814,ntp.msn.com
Impression,2025/07/29,712691504,ntp.msn.com
Impression,2025/07/29,714298984,ntp.msn.com
Impression,2025/07/29,715064824,ntp.msn.com
Impression,2025/07/29,715093784,ntp.msn.com
Impression,2025/07/29,730814673,ntp.msn.com
Impression,2025/07/29,732431366,ntp.msn.com
Impression,2025/07/29,745096923,ntp.msn.com
Impression,2025/07/29,754613376,ntp.msn.com
Impression,2025/07/29,798675066,ntp.msn.com
Impression,2025/07/30,583600763,geeksforgeeks.org
Impression,2025/07/31,247514343,ntp.msn.com
Impression,2025/07/31,717228914,ntp.msn.com
Impression,2025/07/31,724045816,ntp.msn.com
Impression,2025/07/31,731857136,ntp.msn.com
Impression,2025/08/02,220724854,accuweather.com
Impression,2025/08/02,717201034,accuweather.com
Impression,2025/08/02,799549496,accuweather.com
Impression,2025/08/04,799556406,ntp.msn.com
Impression,2025/08/05,220724854,ntp.msn.com
Impression,2025/08/05,714099203,ntp.msn.com
Impression,2025/08/05,721631014,ntp.msn.com
Impression,2025/08/05,721683944,ntp.msn.com
Impression,2025/08/05,722074994,ntp.msn.com
Impression,2025/08/05,817598416,ntp.msn.com
Impression,2025/08/06,721285374,ntp.msn.com
Impression,2025/08/06,721631014,ntp.msn.com
Impression,2025/08/06,722074994,ntp.msn.com
Impression,2025/08/06,745096923,ntp.msn.com
Impression,2025/08/06,746534173,ntp.msn.com
Impression,2025/08/06,802458846,ntp.msn.com
Impression,2025/08/06,823115786,ntp.msn.com
Impression,2025/08/07,247513813,ntp.msn.com
Impression,2025/08/07,316390904,ntp.msn.com
Impression,2025/08/07,715064824,ntp.msn.com
Impression,2025/08/07,724036446,ntp.msn.com
Impression,2025/08/08,247513813,ntp.msn.com
Impression,2025/08/08,247515723,ntp.msn.com
Impression,2025/08/08,721285374,ntp.msn.com
Impression,2025/08/08,724072816,ntp.msn.com
Impression,2025/08/08,729347434,ntp.msn.com
Impression,2025/08/08,756034556,ntp.msn.com
Impression,2025/08/08,802487956,ntp.msn.com
Impression,2025/08/08,802494256,ntp.msn.com
