Login Date,IP Address,User Agent,Login Type
Wed Dec 13 21:55:10 UTC 2023,2601:cb:8002:2200:d436:9ec5:c3cc:698f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Login
Mon Dec 25 17:55:48 UTC 2023,2601:cb:8002:2200:b069:f6d8:2266:1ab4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Sun Dec 31 18:15:49 UTC 2023,2607:fb90:e3b9:604e:d51d:962f:3302:843e,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1",Login
Mon Apr 15 02:06:23 UTC 2024,2607:fb90:e336:487:4813:efa:7a72:4960,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",Login
Fri Jul 05 16:19:00 UTC 2024,34.145.226.20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",Login
Sat Aug 31 21:22:11 UTC 2024,2601:cb:8002:2200:9d47:b637:6647:68,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Login
Thu Sep 26 14:44:04 UTC 2024,4.71.27.161,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Login
Thu Sep 26 14:44:28 UTC 2024,4.71.27.161,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Login
Mon Dec 23 19:00:42 UTC 2024,2601:cb:8000:89d0:91eb:37c6:3d99:2d97,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Thu Jan 02 16:37:39 UTC 2025,2601:cb:8000:89d0:f0b2:84e7:75c8:4c9b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Wed Jan 15 02:28:36 UTC 2025,4.71.27.161,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1",Login
Thu Jan 16 02:48:20 UTC 2025,4.71.27.161,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Fri Feb 14 20:50:20 UTC 2025,2601:cb:8000:89d0:48d7:3ba1:a381:5e0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Thu Mar 20 21:08:12 UTC 2025,2601:cb:8002:c190:2164:a2d2:a296:47c4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Login
Sun Apr 06 00:10:44 UTC 2025,2601:cb:8002:c190:81fc:bc25:c317:7b98,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Login
Fri Apr 11 15:49:21 UTC 2025,2601:cb:8002:c190:2534:ad2e:7202:23de,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Login
Fri May 23 16:57:55 UTC 2025,170.85.56.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",Login
Mon Jun 02 16:40:20 UTC 2025,136.226.2.183,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",Login
Sun Jun 22 20:10:31 UTC 2025,2601:cb:8002:c190:f9c9:7c45:e505:a04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Thu Jul 31 15:56:20 UTC 2025,104.129.205.21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",Login
Tue Aug 05 01:30:09 UTC 2025,2601:cb:8002:c190:f1fd:d09a:c16e:bad2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
